stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,2.0319,63.6100,,,,,,,False
pre_recovery,act_svd,0.1250,0,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2291,3.5517,14.1500,,,,,2.0000,0.0000,False
recovery_epoch,act_svd,0.1250,1,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.1562,25.0200,1.1739,1.1739,3.0902,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,2,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.5079,30.7000,1.0927,1.0927,2.8748,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,3,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.3286,35.3500,1.0586,1.0586,2.7651,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,4,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.7736,38.0300,1.0359,1.0359,2.6839,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,5,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,5.1272,40.0600,1.0133,1.0133,2.6256,0.0003,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,6,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,4.3097,41.7900,0.9975,0.9975,2.5670,0.0002,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,7,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.4719,42.4600,0.9818,0.9818,2.5194,0.0002,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,8,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.8487,43.9900,0.9686,0.9686,2.4832,0.0002,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,9,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.2496,44.5500,0.9573,0.9573,2.4428,0.0001,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,10,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.7592,44.6700,0.9467,0.9467,2.4192,0.0001,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,11,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.4334,45.8200,0.9401,0.9401,2.3912,0.0001,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,12,,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,,3.5411,45.7000,0.9338,0.9338,2.3724,0.0001,2.0000,0.0000,False
recovery_epoch,act_svd,0.1250,13,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,3.2579,46.1800,0.9278,0.9278,2.3605,0.0000,2.0000,0.0000,True
recovery_epoch,act_svd,0.1250,14,,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,,3.1930,46.0900,0.9245,0.9245,2.3460,0.0000,2.0000,0.0000,False
recovery_epoch,act_svd,0.1250,15,checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovered.pth,checkpoints/act_svd/act_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2146,5.5781,46.2300,0.9232,0.9232,2.3432,0.0000,2.0000,0.0000,True
