stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,saved_checkpoint
teacher_baseline,baseline,1.0000,0,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,,,5410084,20.6378,20.6915,3.8023,63.6100,,,,,,,False
pre_recovery,pure_svd,0.1250,0,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2277,3.7256,19.8900,,,,,2.0000,0.0000,False
recovery_epoch,pure_svd,0.1250,1,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,4.7148,35.7800,1.1553,1.1553,2.9596,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,2,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,4.2908,39.9100,1.0613,1.0613,2.7174,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,3,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,3.9700,42.1400,1.0267,1.0267,2.6128,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,4,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,5.9300,43.7400,1.0035,1.0035,2.5383,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,5,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,3.2418,45.2100,0.9828,0.9828,2.4889,0.0003,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,6,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,4.0635,45.5200,0.9681,0.9681,2.4342,0.0002,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,7,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,4.7186,46.4900,0.9550,0.9550,2.4020,0.0002,2.0000,0.0000,True
recovery_epoch,pure_svd,0.1250,8,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovered.pth,checkpoints/pure_svd/pure_svd_rank_ratio_0p125.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,1081300,4.1248,4.2149,6.6034,47.6800,0.9450,0.9450,2.3764,0.0002,2.0000,0.0000,True
