stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,estimated_int8_model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,source_pre_recovery_top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,qat_mode,observer_enabled,saved_checkpoint
pre_qat,hybrid_tucker,0.5000,0,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.7008,3.4041,12.7714,,62.6172,41.2500,,,,,2.0000,0.1000,weight-only,True,False
qat_epoch,hybrid_tucker,0.5000,1,checkpoints/qat/hybrid_rank_ratio_0p5_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,13.3527,,63.4766,41.2500,0.2620,0.1839,0.9651,0.0000,2.0000,0.1000,weight-only,True,True
qat_epoch,hybrid_tucker,0.5000,2,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.0469,41.2500,0.2604,0.1834,0.9529,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,3,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.2031,41.2500,0.2588,0.1827,0.9439,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,4,checkpoints/qat/hybrid_rank_ratio_0p5_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,13.3527,,63.7109,41.2500,0.2566,0.1818,0.9297,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,hybrid_tucker,0.5000,5,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.5547,41.2500,0.2561,0.1814,0.9285,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,6,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.5156,41.2500,0.2541,0.1802,0.9197,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,7,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.5156,41.2500,0.2536,0.1797,0.9183,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,8,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.6719,41.2500,0.2525,0.1790,0.9139,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,9,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.5938,41.2500,0.2521,0.1785,0.9140,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tucker,0.5000,10,,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.6719,41.2500,0.2517,0.1781,0.9145,0.0000,2.0000,0.1000,weight-only,False,False
