stage,family,rank_ratio,epoch,checkpoint,source_checkpoint,teacher_checkpoint,params,model_size_mb,estimated_int8_model_size_mb,checkpoint_mb,latency_ms,top1_accuracy,source_pre_recovery_top1_accuracy,train_loss,kd_loss,ce_loss,lr,temperature,hard_target_weight,qat_mode,observer_enabled,saved_checkpoint
pre_qat,hybrid_tensorly,0.5000,0,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.7008,3.4041,12.7742,,62.8516,41.4100,,,,,2.0000,0.1000,weight-only,True,False
qat_epoch,hybrid_tensorly,0.5000,1,checkpoints/qat/hybrid_tensorly_rank_ratio_0p5_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,13.3622,,63.3203,41.4100,0.2625,0.1843,0.9662,0.0000,2.0000,0.1000,weight-only,True,True
qat_epoch,hybrid_tensorly,0.5000,2,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.2812,41.4100,0.2602,0.1837,0.9487,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,3,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.1250,41.4100,0.2590,0.1832,0.9410,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,4,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.2812,41.4100,0.2578,0.1826,0.9350,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,5,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.1641,41.4100,0.2568,0.1817,0.9323,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,6,checkpoints/qat/hybrid_tensorly_rank_ratio_0p5_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,13.3622,,63.5547,41.4100,0.2551,0.1804,0.9272,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,hybrid_tensorly,0.5000,7,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.2812,41.4100,0.2550,0.1802,0.9279,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,8,checkpoints/qat/hybrid_tensorly_rank_ratio_0p5_recovered_qat_best.pth,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,13.3622,,63.6328,41.4100,0.2543,0.1798,0.9249,0.0000,2.0000,0.1000,weight-only,False,True
qat_epoch,hybrid_tensorly,0.5000,9,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.4766,41.4100,0.2521,0.1785,0.9138,0.0000,2.0000,0.1000,weight-only,False,False
qat_epoch,hybrid_tensorly,0.5000,10,,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovered.pth,/home/hipra/projects/lightvit/checkpoints/baseline_fp32.pth,3328920,12.9691,3.4041,,,63.5156,41.4100,0.2531,0.1788,0.9221,0.0000,2.0000,0.1000,weight-only,False,False
