family,rank,params,model_size_mb,checkpoint_mb,latency_ms,pre_recovery_acc,best_acc,final_acc,metrics_path
baseline,1.0,,20.6378,20.6915,2.6914,,63.6000,63.6000,/home/hipra/projects/lightvit/checkpoints/pure_svd/manifest.csv
pure_svd,0.1250,1081300,4.1248,4.2149,6.2384,19.8900,49.0800,49.0800,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p125_recovery_metrics.csv
pure_svd,0.1875,1580716,6.0300,6.1202,3.9714,30.5500,57.6200,57.6100,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p1875_recovery_metrics.csv
pure_svd,0.2500,2080424,7.9362,8.0259,3.6957,38.2200,60.7900,60.6500,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p25_recovery_metrics.csv
pure_svd,0.3750,3079256,11.7464,11.8365,4.0105,49.4000,61.7600,61.7200,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p375_recovery_metrics.csv
pure_svd,0.5000,4078380,15.5578,15.6473,3.4778,56.8100,62.8000,62.3700,/home/hipra/projects/lightvit/checkpoints/pure_svd_recovered/pure_svd_rank_ratio_0p5_recovery_metrics.csv
act_svd,0.1250,1081300,4.1248,4.2146,5.5781,14.1500,46.2300,46.2300,/home/hipra/projects/lightvit/checkpoints/act_svd_recovered/act_svd_rank_ratio_0p125_recovery_metrics.csv
act_svd,0.1875,1580716,6.0300,6.1200,3.4572,24.6000,56.6500,56.5900,/home/hipra/projects/lightvit/checkpoints/act_svd_recovered/act_svd_rank_ratio_0p1875_recovery_metrics.csv
act_svd,0.2500,2080424,7.9362,8.0257,4.5787,36.2100,60.3100,60.2800,/home/hipra/projects/lightvit/checkpoints/act_svd_recovered/act_svd_rank_ratio_0p25_recovery_metrics.csv
act_svd,0.3750,3079256,11.7464,11.8362,4.5663,52.1300,61.7300,61.6500,/home/hipra/projects/lightvit/checkpoints/act_svd_recovered/act_svd_rank_ratio_0p375_recovery_metrics.csv
act_svd,0.5000,4078380,15.5578,15.6471,3.3049,59.0000,62.3200,62.3200,/home/hipra/projects/lightvit/checkpoints/act_svd_recovered/act_svd_rank_ratio_0p5_recovery_metrics.csv
hybrid_tucker,0.1250,831808,3.1731,3.2461,6.8795,2.1700,40.4500,40.4500,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p125_recovery_metrics.csv
hybrid_tucker,0.1875,1221976,4.6615,4.7350,3.3849,4.3800,54.7100,54.7100,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p1875_recovery_metrics.csv
hybrid_tucker,0.2500,1622804,6.1905,6.2633,7.1796,6.7100,59.8400,59.8400,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p25_recovery_metrics.csv
hybrid_tucker,0.3750,2454980,9.3650,9.4380,5.8555,22.3800,61.9400,61.9200,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p375_recovery_metrics.csv
hybrid_tucker,0.5000,3328920,12.6988,12.7714,3.3714,41.2500,62.3900,62.3900,/home/hipra/projects/lightvit/checkpoints/hybrid_recovered/hybrid_rank_ratio_0p5_recovery_metrics.csv
hybrid_tensorly,0.1250,831808,3.1731,3.2489,5.4473,1.8300,39.9200,39.9200,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p125_recovery_metrics.csv
hybrid_tensorly,0.1875,1221976,4.6615,4.7375,9.2231,4.0400,54.6700,54.4900,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p1875_recovery_metrics.csv
hybrid_tensorly,0.2500,1622804,6.1905,6.2660,6.9253,6.7500,59.8200,59.8000,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p25_recovery_metrics.csv
hybrid_tensorly,0.3750,2454980,9.3650,9.4408,5.7165,21.4800,61.8800,61.8400,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p375_recovery_metrics.csv
hybrid_tensorly,0.5000,3328920,12.6988,12.7742,3.4901,41.4100,62.5300,62.4500,/home/hipra/projects/lightvit/checkpoints/hybrid_tensorly_recovered/hybrid_tensorly_rank_ratio_0p5_recovery_metrics.csv
